NAME,Lowbirths,ExpectedNumber
Appling,35,24.32956505
Atkinson,5,12.53622627
Bacon,16,13.9291403
Baker,2,3.1572718
Baldwin,54,45.78044111
Banks,24,15.97208087
Barrow,84,96.38965085
Bartow,130,124.897958
Ben Hill,27,24.70100879
Berrien,26,22.19376354
Bibb,321,219.0589464
Bleckley,11,12.81480907
Brantley,16,19.31507454
Brooks,29,19.50079641
Bryan,34,39.93020218
Bulloch,80,73.17441702
Burke,46,33.98710232
Butts,25,26.18678376
Calhoun,8,6.407404536
Camden,64,74.47447012
Candler,7,13.18625281
Carroll,134,143.3772841
Catoosa,102,66.67415155
Charlton,17,12.90767001
Chatham,375,349.0642558
Chattahoochee,20,19.22221361
Chattooga,55,26.65108843
Cherokee,235,264.0965
Clarke,119,138.3627936
Clay,4,2.414384318
Clayton,473,411.0953606
Clinch,14,9.10037166
Cobb,781,877.9072824
Coffee,54,52.55928938
Colquitt,100,70.85289364
Columbia,118,152.2919339
Cook,20,24.88673066
Coweta,142,153.3134042
Crawford,13,14.02200123
Crisp,56,30.36552585
Dade,15,12.3505044
Dawson,19,21.91518073
Decatur,33,36.49434758
DeKalb,1127,1024.070395
Dodge,21,24.51528692
Dooly,16,12.16478253
Dougherty,208,140.0342904
Douglas,173,159.9065306
Early,17,14.67202778
Echols,6,5.94309986
Effingham,59,56.83089241
Elbert,25,24.9795916
Emanuel,38,30.82983052
Evans,15,15.32205433
Fannin,9,17.64357771
Fayette,62,74.66019199
Floyd,157,123.8764877
Forsyth,188,213.7658731
Franklin,30,26.74394937
Fulton,1383,1199.020397
Gilmer,21,32.22274455
Glascock,3,2.97154993
Glynn,92,98.24686955
Gordon,52,66.85987342
Grady,33,36.21576477
Greene,15,13.9291403
Gwinnett,904,1102.445024
Habersham,48,47.45193794
Hall,221,241.9027365
Hancock,13,7.986040436
Haralson,31,33.98710232
Harris,15,28.69402901
Hart,21,24.70100879
Heard,11,10.86472943
Henry,213,230.7594242
Houston,195,192.0364142
Irwin,19,10.49328569
Jackson,61,76.70313256
Jasper,13,16.90069023
Jeff Davis,26,20.89371044
Jefferson,26,20.89371044
Jenkins,4,10.7718685
Johnson,13,9.843259142
Jones,46,32.59418829
Lamar,19,17.64357771
Lanier,20,12.3505044
Laurens,73,61.93824385
Lee,28,31.01555239
Liberty,125,128.0552298
Lincoln,11,6.314543601
Long,14,13.83627936
Lowndes,216,161.2994446
Lumpkin,18,29.25119462
McDuffie,38,28.87975088
McIntosh,16,13.37197468
Macon,22,13.9291403
Madison,43,33.1513539
Marion,11,9.564676337
Meriwether,22,24.70100879
Miller,9,7.614596695
Mitchell,33,30.55124772
Monroe,28,27.48683685
Montgomery,14,10.67900756
Morgan,25,19.77937922
Murray,51,45.31613643
Muscogee,348,293.6262774
Newton,140,128.7052563
Oconee,25,32.50132736
Oglethorpe,19,15.22919339
Paulding,150,180.4287973
Peach,29,33.52279765
Pickens,23,28.87975088
Pierce,24,21.17229325
Pike,25,17.27213397
Polk,58,52.28070658
Pulaski,8,9.286093531
Putnam,24,22.37948541
Quitman,6,2.600106189
Rabun,20,14.48630591
Randolph,14,9.193232595
Richmond,348,279.2328325
Rockdale,112,98.33973049
Schley,6,5.94309986
Screven,27,20.5222667
Seminole,15,10.40042475
Spalding,135,85.71064329
Stephens,23,27.76541966
Stewart,5,5.757377989
Sumter,64,42.80889118
Talbot,10,6.407404536
Taliaferro,4,1.5786359
Tattnall,30,32.03702268
Taylor,12,8.914649789
Telfair,14,14.2077231
Terrell,18,13.37197468
Thomas,63,55.34511744
Tift,62,49.30915665
Toombs,39,39.09445376
Towns,10,7.52173576
Treutlen,10,7.614596695
Troup,93,82.92481523
Turner,14,10.30756382
Twiggs,13,9.750398207
Union,15,16.71496836
Upson,43,33.61565858
Walker,107,65.28123752
Walton,100,100.7541148
Ware,55,47.54479888
Warren,2,5.293073312
Washington,35,22.28662447
Wayne,43,41.97314276
Webster,1,1.300053094
Wheeler,9,6.314543601
White,18,25.35103534
Whitfield,107,141.6129263
Wilcox,12,9.007510725
Wilkes,3,10.49328569
Wilkinson,16,12.16478253
Worth,37,22.47234634