SEQID,MSOA11CD,MSOA11NM,OBESE,TOTAL,IMDMSOA,RESTCAT
494,E02000519,Hillingdon 026,108,385,29.92,1
495,E02000520,Hillingdon 027,142,539,26.46666667,1
496,E02000521,Hillingdon 028,117,485,28.28,1
497,E02000522,Hillingdon 029,89,359,24.58,1
498,E02000523,Hillingdon 030,116,415,20.2,1
499,E02000524,Hillingdon 031,68,225,24.1,2
500,E02000525,Hillingdon 032,108,386,23.5,1
501,E02000526,Hounslow 001,13,119,10.56,1
502,E02000528,Hounslow 003,75,356,30.43333333,1
503,E02000529,Hounslow 004,82,328,22.72,1
504,E02000530,Hounslow 005,83,348,33.325,1
505,E02000531,Hounslow 006,48,265,23.46,1
506,E02000532,Hounslow 007,24,186,14.68333333,1
507,E02000533,Hounslow 008,24,199,15.94,1
508,E02000534,Hounslow 009,47,243,13.7,1
509,E02000535,Hounslow 010,87,312,19.62,1
510,E02000536,Hounslow 011,81,317,20.92,1
511,E02000537,Hounslow 012,57,238,16.16,1
512,E02000538,Hounslow 013,96,337,22.16,1
513,E02000539,Hounslow 014,77,384,22.18,1
514,E02000540,Hounslow 015,84,327,19.82,2
515,E02000541,Hounslow 016,85,347,24.08,1
516,E02000542,Hounslow 017,99,431,23.82,1
517,E02000543,Hounslow 018,99,447,21.26666667,2
518,E02000544,Hounslow 019,60,262,14.36,0
519,E02000545,Hounslow 020,67,332,26.08,1
520,E02000546,Hounslow 021,118,395,20.62,1
521,E02000547,Hounslow 022,97,337,20.36,1
522,E02000548,Hounslow 023,106,376,27.66,1
523,E02000549,Hounslow 024,114,449,22.31666667,1
524,E02000550,Hounslow 025,101,445,26.75,1
525,E02000551,Hounslow 026,97,369,32.4,1
526,E02000552,Hounslow 027,83,296,17.68,1
527,E02000553,Hounslow 028,58,247,21.55,0
528,E02000554,Islington 001,71,282,36.56666667,1
529,E02000555,Islington 002,50,235,26.33333333,1
530,E02000556,Islington 003,35,188,28.76666667,2
531,E02000557,Islington 004,51,184,33.52,2
532,E02000558,Islington 005,79,310,41.28,1
533,E02000559,Islington 006,37,213,20.01666667,1
534,E02000560,Islington 007,26,120,26.625,2
535,E02000561,Islington 008,14,159,17.425,0
536,E02000562,Islington 009,49,181,23.78,1
537,E02000563,Islington 010,57,229,35.98,1
538,E02000564,Islington 011,59,219,28.27142857,2
539,E02000565,Islington 012,53,235,30.28,1
540,E02000566,Islington 013,39,176,19.58,2
541,E02000567,Islington 014,45,210,27.15,1
542,E02000568,Islington 015,74,275,32.26,1
543,E02000569,Islington 016,60,236,28.58333333,1
544,E02000570,Islington 017,27,139,16.14,1
545,E02000571,Islington 018,46,175,32.32,1
546,E02000572,Islington 019,76,270,35.9,1
547,E02000573,Islington 020,26,118,21.8,3
548,E02000574,Islington 021,22,107,25.7,3
549,E02000575,Islington 022,49,200,22.07142857,4
550,E02000576,Islington 023,67,256,26.36,3
551,E02000577,Kensington and Chelsea 001,62,237,49.68,1
552,E02000578,Kensington and Chelsea 002,47,187,43.8,0
553,E02000579,Kensington and Chelsea 003,23,160,30.36,1
554,E02000580,Kensington and Chelsea 004,37,160,35.16,2
555,E02000581,Kensington and Chelsea 005,57,249,41.34,1
556,E02000582,Kensington and Chelsea 006,11,58,16.96,2
557,E02000583,Kensington and Chelsea 007,10,53,17.04,1
558,E02000584,Kensington and Chelsea 008,13,84,11.76,1
559,E02000585,Kensington and Chelsea 009,22,108,16.3,0
560,E02000587,Kensington and Chelsea 011,10,56,11.52,1
561,E02000589,Kensington and Chelsea 013,6,62,17.5,2
562,E02000590,Kensington and Chelsea 014,12,70,20.74,2
563,E02000591,Kensington and Chelsea 015,25,111,29.1,1
564,E02000593,Kensington and Chelsea 017,15,80,19.86,1
565,E02000594,Kensington and Chelsea 018,7,53,12.94,1
566,E02000597,Kensington and Chelsea 021,34,160,34.44,1
567,E02000598,Kingston upon Thames 001,40,325,5.86,1
568,E02000599,Kingston upon Thames 002,14,126,7.62,0
569,E02000600,Kingston upon Thames 003,40,262,8.98,1
570,E02000601,Kingston upon Thames 004,47,393,8.866666667,1
571,E02000602,Kingston upon Thames 005,59,296,19.62,1
572,E02000603,Kingston upon Thames 006,60,340,17.98,1
573,E02000604,Kingston upon Thames 007,40,285,10.62,2
574,E02000605,Kingston upon Thames 008,33,243,11.2,1
575,E02000606,Kingston upon Thames 009,25,151,9.6,4
576,E02000607,Kingston upon Thames 010,17,190,8.15,0
577,E02000608,Kingston upon Thames 011,14,98,12.275,2
578,E02000609,Kingston upon Thames 012,59,250,13.4,1
579,E02000610,Kingston upon Thames 013,23,148,14.42,1
580,E02000611,Kingston upon Thames 014,43,262,5.76,1
581,E02000612,Kingston upon Thames 015,31,232,9.2,0
582,E02000613,Kingston upon Thames 016,31,218,11.14,1
583,E02000614,Kingston upon Thames 017,51,302,15.06,1
584,E02000615,Kingston upon Thames 018,47,280,10.28,1
585,E02000616,Kingston upon Thames 019,43,191,9.625,0
586,E02000617,Kingston upon Thames 020,69,325,16.1,0
587,E02000619,Lambeth 002,47,238,28.5,1
588,E02000620,Lambeth 003,71,255,25.96,1
589,E02000621,Lambeth 004,62,208,26.25,2
590,E02000622,Lambeth 005,42,197,23.62,1
591,E02000623,Lambeth 006,71,247,28.88,1
592,E02000624,Lambeth 007,76,246,30.68,1
593,E02000625,Lambeth 008,73,270,30.9,1
594,E02000626,Lambeth 009,100,314,35.88,1
595,E02000627,Lambeth 010,69,249,29.54,1
596,E02000628,Lambeth 011,113,349,38.66666667,2
597,E02000629,Lambeth 012,27,145,22.56,1
598,E02000630,Lambeth 013,27,109,22.22,1
599,E02000631,Lambeth 014,66,248,19.12,1
600,E02000632,Lambeth 015,18,101,23.6,1
601,E02000633,Lambeth 016,62,242,32.38,1
602,E02000634,Lambeth 017,45,163,30.5,2
603,E02000635,Lambeth 018,40,218,28.76,1
604,E02000636,Lambeth 019,17,77,15.78,1
605,E02000637,Lambeth 020,37,193,22.14,1
606,E02000638,Lambeth 021,56,240,25.26,1
607,E02000639,Lambeth 022,70,257,29.08,1
608,E02000640,Lambeth 023,28,202,16.26666667,0
609,E02000641,Lambeth 024,90,355,32.68,0
610,E02000642,Lambeth 025,68,294,25.34,1
611,E02000643,Lambeth 026,45,222,22.2,1
612,E02000644,Lambeth 027,56,248,21.28,0
613,E02000645,Lambeth 028,54,232,22.46,1
614,E02000646,Lambeth 029,40,193,19.88,2
615,E02000647,Lambeth 030,50,257,19.76,0
616,E02000648,Lambeth 031,87,337,34.8,1
617,E02000649,Lambeth 032,78,288,24.33333333,1
618,E02000650,Lambeth 033,57,235,31.42,1
619,E02000651,Lambeth 034,47,214,21.22,1
620,E02000652,Lambeth 035,49,245,20.5,1
621,E02000653,Lewisham 001,81,316,27.42,1
622,E02000654,Lewisham 002,118,356,35.08,1
623,E02000655,Lewisham 003,89,315,32.62,1
624,E02000657,Lewisham 005,64,242,26.5,2
625,E02000658,Lewisham 006,40,209,24.5,1
626,E02000659,Lewisham 007,35,190,22.62,0
627,E02000660,Lewisham 008,28,169,24.58,1
628,E02000661,Lewisham 009,35,137,16,1
629,E02000662,Lewisham 010,78,281,24.62,1
630,E02000663,Lewisham 011,36,184,20.475,1
631,E02000664,Lewisham 012,104,374,35.93333333,2
632,E02000665,Lewisham 013,49,243,21.05,1
633,E02000666,Lewisham 014,37,226,21.775,1
634,E02000667,Lewisham 015,26,184,15.4,1
635,E02000668,Lewisham 016,34,193,17.625,1
636,E02000669,Lewisham 017,51,190,24.5,1
637,E02000670,Lewisham 018,56,214,34.175,0
638,E02000671,Lewisham 019,32,231,20.82,1
639,E02000672,Lewisham 020,71,277,33.76,1
640,E02000673,Lewisham 021,25,213,15.76,1
641,E02000674,Lewisham 022,59,242,21.2,0
642,E02000675,Lewisham 023,52,249,19.8,1
643,E02000676,Lewisham 024,41,209,20.88,0
644,E02000677,Lewisham 025,33,178,22.35,1
645,E02000678,Lewisham 026,75,297,31.725,1
646,E02000679,Lewisham 027,57,258,26.42,1
647,E02000680,Lewisham 028,53,261,26.15,1
648,E02000681,Lewisham 029,82,349,34.46,1
649,E02000682,Lewisham 030,116,404,31.36,0
650,E02000683,Lewisham 031,73,235,32.575,1
651,E02000685,Lewisham 033,70,268,27.3,1
652,E02000686,Lewisham 034,88,311,40.4,0
653,E02000687,Lewisham 035,64,241,26.02,1
654,E02000689,Merton 001,27,226,7.5,1
655,E02000691,Merton 003,16,162,9.1,2
656,E02000693,Merton 005,26,141,12.66,1
657,E02000694,Merton 006,31,196,10.22,1
658,E02000695,Merton 007,64,219,13.92,1
659,E02000696,Merton 008,43,241,18.42,1
660,E02000697,Merton 009,23,160,6.98,1
661,E02000698,Merton 010,8,150,5.76,0
662,E02000699,Merton 011,15,182,6.4,1
663,E02000700,Merton 012,65,293,23.38,0
664,E02000701,Merton 013,84,343,21.26,1
665,E02000702,Merton 014,91,368,25,0
666,E02000703,Merton 015,21,201,7.38,1
667,E02000704,Merton 016,34,163,13.78,1
668,E02000705,Merton 017,76,277,15.18,1
669,E02000706,Merton 018,132,423,28.38,1
670,E02000707,Merton 019,115,367,26.5,0
671,E02000708,Merton 020,42,260,8.34,1
672,E02000709,Merton 021,30,226,7.48,0
673,E02000710,Merton 022,84,308,22.46,1
674,E02000711,Merton 023,79,313,23.22,1
675,E02000712,Merton 024,70,307,22.62,0
676,E02000713,Merton 025,50,255,9.12,0
677,E02000714,Newham 001,75,285,28.1,1
678,E02000715,Newham 002,101,338,31.075,1
679,E02000716,Newham 003,100,327,31,1
680,E02000717,Newham 004,102,384,29.65,1
681,E02000718,Newham 005,103,381,33.475,0
682,E02000719,Newham 006,62,254,27.975,1
683,E02000720,Newham 007,67,280,25.125,0
684,E02000721,Newham 008,115,410,33.54,1
685,E02000722,Newham 009,61,229,28.35,0
686,E02000723,Newham 010,102,343,25,1
687,E02000724,Newham 011,115,422,27.74,1
688,E02000725,Newham 012,59,209,30.375,2
689,E02000726,Newham 013,129,439,27.48,3
690,E02000727,Newham 014,115,396,27.275,1
691,E02000728,Newham 015,88,319,25.86,0
692,E02000729,Newham 016,59,209,26.325,0
693,E02000730,Newham 017,106,360,27.025,1
694,E02000731,Newham 018,74,348,29.48,1
695,E02000732,Newham 019,113,313,33.675,0
696,E02000733,Newham 020,86,332,30.22,1
697,E02000734,Newham 021,91,293,29.325,0
698,E02000735,Newham 022,73,317,30.925,0
699,E02000736,Newham 023,115,441,32.06,1
700,E02000737,Newham 024,105,438,28.22,1
701,E02000738,Newham 025,105,415,22.875,1
702,E02000739,Newham 026,84,269,28.9,1
703,E02000740,Newham 027,58,254,32.175,1
704,E02000741,Newham 028,106,368,28.35,0
705,E02000742,Newham 029,99,395,31.3,0
706,E02000743,Newham 030,123,409,38.2,1
707,E02000744,Newham 031,102,359,35.5,1
708,E02000745,Newham 032,88,343,30.36,1
709,E02000746,Newham 033,61,250,35.65,1
710,E02000747,Newham 034,81,353,31.92857143,1
711,E02000748,Newham 035,67,241,26.25,0
712,E02000749,Newham 036,112,382,40.34,1
713,E02000750,Newham 037,103,394,21.96666667,1
714,E02000751,Redbridge 001,29,228,7.085714286,1
715,E02000752,Redbridge 002,76,268,28.75,0
716,E02000753,Redbridge 003,46,226,23.45,0
717,E02000754,Redbridge 004,43,198,14.475,1
718,E02000755,Redbridge 005,35,187,17,1
719,E02000756,Redbridge 006,102,432,16.11428571,1
720,E02000757,Redbridge 007,43,305,9.3,1
721,E02000758,Redbridge 008,56,233,16.275,1
722,E02000759,Redbridge 009,74,429,15.4,1
723,E02000760,Redbridge 010,74,302,21.85,1
724,E02000762,Redbridge 012,44,206,10.075,1
725,E02000763,Redbridge 013,54,252,17.225,0
726,E02000764,Redbridge 014,43,240,11.1,1
727,E02000765,Redbridge 015,44,235,13.05,1
728,E02000767,Redbridge 017,76,313,15.25,1
729,E02000768,Redbridge 018,15,140,9.025,0
730,E02000769,Redbridge 019,177,706,16.6,1
731,E02000770,Redbridge 020,80,328,15.75,1
732,E02000772,Redbridge 022,91,354,18.325,1
733,E02000773,Redbridge 023,121,430,16.375,1
734,E02000774,Redbridge 024,93,308,22.125,1
735,E02000776,Redbridge 026,71,278,16.875,1
736,E02000777,Redbridge 027,28,184,17.05,0
737,E02000779,Redbridge 029,76,335,25.8,1
738,E02000780,Redbridge 030,194,691,23.5375,2
739,E02000781,Redbridge 031,198,630,16.98571429,0
740,E02000782,Redbridge 032,128,457,28.3,1
741,E02000783,Redbridge 033,106,388,26.925,0
742,E02000784,Richmond upon Thames 001,32,158,9.6,0
743,E02000786,Richmond upon Thames 003,23,263,9.685714286,1
744,E02000787,Richmond upon Thames 004,30,325,13.77142857,1
745,E02000788,Richmond upon Thames 005,24,243,6.48,2
746,E02000789,Richmond upon Thames 006,12,143,9.9,1
747,E02000790,Richmond upon Thames 007,13,199,5.45,1
748,E02000792,Richmond upon Thames 009,10,196,5.825,1
749,E02000793,Richmond upon Thames 010,43,255,11.04,1
750,E02000794,Richmond upon Thames 011,21,194,7.3,1
751,E02000795,Richmond upon Thames 012,22,202,8.7,1
752,E02000796,Richmond upon Thames 013,91,413,15.9,1
753,E02000797,Richmond upon Thames 014,21,201,6.725,2
754,E02000798,Richmond upon Thames 015,54,467,10.15714286,1
755,E02000799,Richmond upon Thames 016,16,169,5.6,1
756,E02000800,Richmond upon Thames 017,30,196,15.76666667,0
757,E02000801,Richmond upon Thames 018,22,194,5.65,1
758,E02000802,Richmond upon Thames 019,20,189,7.525,1
759,E02000803,Richmond upon Thames 020,50,249,17.66666667,0
760,E02000804,Richmond upon Thames 021,16,196,6.625,2
761,E02000805,Richmond upon Thames 022,32,355,8.833333333,1
762,E02000806,Richmond upon Thames 023,32,240,8.233333333,1
763,E02000807,Southwark 001,25,104,15.34,1
764,E02000808,Southwark 002,36,143,19.9,4
765,E02000809,Southwark 003,41,164,14.3125,3
766,E02000810,Southwark 004,81,344,26.68,1
767,E02000812,Southwark 006,81,275,28.35,2
768,E02000813,Southwark 007,65,287,27.04,2
769,E02000814,Southwark 008,41,138,19.82,1
770,E02000815,Southwark 009,43,137,31.95,1
771,E02000816,Southwark 010,80,251,29.5,1
772,E02000817,Southwark 011,74,237,34.925,0
773,E02000818,Southwark 012,70,223,34.45,1
774,E02000819,Southwark 013,74,265,30.78,1
775,E02000820,Southwark 014,93,253,27.63333333,1
776,E02000821,Southwark 015,104,363,40.22,1
777,E02000822,Southwark 016,67,276,33.42,1
778,E02000823,Southwark 017,84,267,29.76,1
779,E02000824,Southwark 018,135,443,32.44,1
780,E02000825,Southwark 019,95,344,34.38,0
781,E02000826,Southwark 020,109,317,30.4,1
782,E02000827,Southwark 021,140,398,31.46666667,1
783,E02000828,Southwark 022,79,289,35.075,1
784,E02000829,Southwark 023,103,329,34.78,1
785,E02000830,Southwark 024,41,177,19.8,2
786,E02000831,Southwark 025,70,265,24.3,2
787,E02000832,Southwark 026,75,324,30.54,1
788,E02000833,Southwark 027,60,271,19.72,1
789,E02000834,Southwark 028,24,218,18.36,1
790,E02000835,Southwark 029,42,256,20.35,0
791,E02000836,Southwark 030,29,211,14.42,1
792,E02000837,Southwark 031,25,268,9.88,1
793,E02000838,Southwark 032,46,273,17.26,1
794,E02000839,Southwark 033,45,224,20.56,0
795,E02000840,Sutton 001,91,347,32.34,0
796,E02000841,Sutton 002,98,367,28.12,1
797,E02000842,Sutton 003,54,269,9.84,1
798,E02000843,Sutton 004,62,266,15.7,1
799,E02000844,Sutton 005,76,315,20.94,0
800,E02000845,Sutton 006,42,306,9.12,1
801,E02000846,Sutton 007,43,248,10.75,1
802,E02000847,Sutton 008,37,272,6.833333333,1
803,E02000848,Sutton 009,53,338,7.74,1
804,E02000849,Sutton 010,42,274,12.74,1
805,E02000850,Sutton 011,67,379,11.94285714,1
806,E02000851,Sutton 012,56,273,21.42,2
807,E02000852,Sutton 013,40,251,9.08,1
808,E02000853,Sutton 014,55,293,13.34,0
809,E02000854,Sutton 015,24,205,10.02,1
810,E02000855,Sutton 016,39,245,6.1,1
811,E02000856,Sutton 017,34,247,11.52,1
812,E02000857,Sutton 018,36,183,10.28,1
813,E02000858,Sutton 019,86,358,32.68,1
814,E02000859,Sutton 020,51,253,11.4,1
815,E02000860,Sutton 021,33,188,20.58,0
816,E02000861,Sutton 022,25,224,5.04,0
817,E02000863,Sutton 024,35,189,10.525,0
818,E02000864,Tower Hamlets 001,85,304,33.25,2
819,E02000865,Tower Hamlets 002,59,242,34.85,1
820,E02000866,Tower Hamlets 003,56,220,25.14,2
821,E02000867,Tower Hamlets 004,77,287,25.36666667,1
822,E02000868,Tower Hamlets 005,58,188,28.725,2
823,E02000869,Tower Hamlets 006,47,185,32.225,1
824,E02000870,Tower Hamlets 007,67,215,29.575,1
825,E02000871,Tower Hamlets 008,99,428,34.6,1
826,E02000872,Tower Hamlets 009,65,232,32.725,3
827,E02000873,Tower Hamlets 010,72,303,27.38,1
828,E02000874,Tower Hamlets 011,81,272,34.1,1
829,E02000875,Tower Hamlets 012,98,421,32.54,1
830,E02000876,Tower Hamlets 013,44,188,34.4,2
831,E02000877,Tower Hamlets 014,124,458,31.48,1
832,E02000878,Tower Hamlets 015,46,212,31.06,4
833,E02000879,Tower Hamlets 016,82,313,30.675,1
834,E02000880,Tower Hamlets 017,69,208,30.975,1
835,E02000881,Tower Hamlets 018,92,406,40.65,0
836,E02000882,Tower Hamlets 019,129,406,36.4,1
837,E02000883,Tower Hamlets 020,121,392,40.15,1
838,E02000884,Tower Hamlets 021,77,276,24.52,3
839,E02000885,Tower Hamlets 022,82,289,36.85,1
840,E02000886,Tower Hamlets 023,60,209,26.025,1
841,E02000887,Tower Hamlets 024,104,389,33,1
842,E02000888,Tower Hamlets 025,78,265,23.2,1
843,E02000889,Tower Hamlets 026,64,235,20.875,1
844,E02000890,Tower Hamlets 027,17,68,9.333333333,2
845,E02000891,Tower Hamlets 028,109,385,18.6625,2
846,E02000893,Tower Hamlets 030,47,197,21.225,1
847,E02000894,Tower Hamlets 031,44,198,13.11666667,1
848,E02000895,Waltham Forest 001,59,264,23.4,1
849,E02000896,Waltham Forest 002,34,217,14.98,1
850,E02000897,Waltham Forest 003,59,273,28.1,0
851,E02000898,Waltham Forest 004,60,275,23.98,0
852,E02000899,Waltham Forest 005,72,282,20.18,1
853,E02000900,Waltham Forest 006,82,340,27.64,1
854,E02000901,Waltham Forest 007,53,304,15.25,1
855,E02000902,Waltham Forest 008,89,335,25.1,1
856,E02000903,Waltham Forest 009,112,407,35.62,1
857,E02000904,Waltham Forest 010,94,328,20.475,1
858,E02000905,Waltham Forest 011,100,386,21.94,1
859,E02000906,Waltham Forest 012,95,363,25,1
860,E02000907,Waltham Forest 013,118,415,36.58333333,1
861,E02000908,Waltham Forest 014,123,393,21.84,1
862,E02000909,Waltham Forest 015,61,281,19.76,1
863,E02000910,Waltham Forest 016,65,288,24.65,1
864,E02000911,Waltham Forest 017,85,392,29.36,2
865,E02000912,Waltham Forest 018,82,317,28.82,0
866,E02000913,Waltham Forest 019,80,291,24.02,0
867,E02000914,Waltham Forest 020,100,397,34.78,1
868,E02000915,Waltham Forest 021,50,227,21.68,1
869,E02000916,Waltham Forest 022,93,357,27.4,1
870,E02000917,Waltham Forest 023,66,251,19.5,0
871,E02000918,Waltham Forest 024,68,262,27.64,1
872,E02000919,Waltham Forest 025,61,219,21.26,1
873,E02000920,Waltham Forest 026,88,339,27.88,1
874,E02000921,Waltham Forest 027,100,363,30.83333333,1
875,E02000922,Waltham Forest 028,99,345,24.15,1
876,E02000923,Wandsworth 001,21,99,12.6,1
877,E02000924,Wandsworth 002,75,293,26.37142857,1
878,E02000925,Wandsworth 003,42,187,26.725,1
879,E02000926,Wandsworth 004,32,160,15.88333333,1
880,E02000927,Wandsworth 005,20,99,22.225,1
881,E02000928,Wandsworth 006,15,163,9.8,1
882,E02000929,Wandsworth 007,74,260,33.7,1
883,E02000930,Wandsworth 008,32,123,14.14,2
884,E02000931,Wandsworth 009,6,123,7.5,1
885,E02000932,Wandsworth 010,17,133,10.48333333,3
886,E02000933,Wandsworth 011,21,112,10.3,1
887,E02000934,Wandsworth 012,13,98,12.24,1
888,E02000935,Wandsworth 013,57,237,28.65,0
889,E02000936,Wandsworth 014,13,109,12.72,0
890,E02000937,Wandsworth 015,8,140,9.32,1
891,E02000938,Wandsworth 016,67,265,22.78,0
892,E02000939,Wandsworth 017,12,137,7.54,1
893,E02000940,Wandsworth 018,53,231,21.175,1
894,E02000941,Wandsworth 019,22,160,12.46666667,0
895,E02000942,Wandsworth 020,21,210,8.833333333,1
896,E02000943,Wandsworth 021,21,122,12.02,2
897,E02000944,Wandsworth 022,57,238,25.1,1
898,E02000945,Wandsworth 023,57,251,27.55,1
899,E02000946,Wandsworth 024,30,160,18.5,1
900,E02000947,Wandsworth 025,21,134,8.12,1
901,E02000948,Wandsworth 026,28,138,14.16666667,0
902,E02000949,Wandsworth 027,10,94,11,1
903,E02000950,Wandsworth 028,33,192,13.02,0
904,E02000951,Wandsworth 029,17,89,16.9,2
905,E02000952,Wandsworth 030,20,98,19.875,1
906,E02000953,Wandsworth 031,25,132,11.4,1
907,E02000954,Wandsworth 032,36,176,16.575,1
908,E02000955,Wandsworth 033,45,191,26.175,1
909,E02000956,Wandsworth 034,48,185,23.375,1
910,E02000957,Wandsworth 035,60,276,19.51666667,2
911,E02000958,Wandsworth 036,46,293,15.5,0
912,E02000959,Wandsworth 037,37,233,21.15,1
913,E02000961,Westminster 002,44,156,17.26,1
914,E02000962,Westminster 003,30,90,17.26,0
915,E02000963,Westminster 004,85,318,32.98,1
916,E02000964,Westminster 005,107,390,29.38333333,1
917,E02000965,Westminster 006,28,150,15.64,1
918,E02000966,Westminster 007,23,97,11.88333333,1
919,E02000968,Westminster 009,146,515,40.95,1
920,E02000969,Westminster 010,81,328,38.9,1
921,E02000971,Westminster 012,16,79,15.46,2
922,E02000972,Westminster 013,14,64,20.24,4
923,E02000973,Westminster 014,18,104,18.06666667,1
924,E02000974,Westminster 015,16,78,20.15,3
925,E02000975,Westminster 016,13,58,12.46,2
926,E02000976,Westminster 017,24,86,18.05,3
927,E02000977,Westminster 018,18,59,20.925,4
928,E02000979,Westminster 020,27,105,21.24,4
929,E02000980,Westminster 021,38,196,24.1,1
930,E02000981,Westminster 022,29,106,14.74,2
931,E02000982,Westminster 023,54,211,25.16666667,3
932,E02000983,Westminster 024,61,192,21.18333333,1
933,E02006782,Bromley 040,52,256,19.1,1
934,E02006783,Lewisham 037,93,355,35.7,1
935,E02006784,Lewisham 038,75,308,33.72,1
936,E02006785,Bexley 029,49,217,17.25,1
937,E02006786,Greenwich 033,82,302,24.45,1
938,E02006787,Bromley 041,37,283,10.32,1
939,E02006788,Croydon 045,85,290,29.78,0
940,E02006789,Bromley 042,37,195,13.075,1
941,E02006791,Ealing 040,27,126,15.975,1
942,E02006792,Hounslow 029,19,119,13.04,2
943,E02006793,Enfield 037,124,459,39.74,1
944,E02006794,Haringey 037,105,347,43.4,1
945,E02006795,Harrow 032,67,315,11.2,1
946,E02006796,Hillingdon 033,58,286,12.62,1
947,E02006798,Lewisham 039,85,256,35.62,2
948,E02006799,Barking and Dagenham 023,178,578,35.06666667,1
949,E02006800,Redbridge 034,160,546,21.1,1
950,E02006801,Lambeth 036,31,145,20.98,4
951,E02006802,Southwark 034,45,172,31.96,2
952,E02006836,Sutton 025,27,187,4.6,1
953,E02006853,Tower Hamlets 032,78,265,22.02,1
954,E02006854,Tower Hamlets 033,24,105,13.35,3
955,E02006882,Harrow 033,88,416,12.55555556,1
956,E02006918,Hackney 028,85,307,34.56,1
957,E02006921,Hackney 029,76,229,36.225,1
958,E02006924,Redbridge 035,118,484,16.1875,1
959,E02006925,Redbridge 036,117,514,10.6125,1
960,E02006927,Greenwich 034,68,308,20.42,1
961,E02006928,Greenwich 035,49,228,19.2,1
962,E02006929,Greenwich 036,71,282,27.04,1
963,E02006930,Greenwich 037,40,178,20.725,2
964,E02006931,Greenwich 038,46,199,19,3